0.158	0.244	USV_1
1.201	1.309	USV_2
2.617	2.721	USV_3
3.185	3.315	USV_4
3.862	4.009	USV_5
4.168	4.214	USV_6
8.196	8.306000000000001	USV_7
15.46	15.531	USV_8
16.292	16.325	USV_9
19.877000000000002	19.92	USV_10
20.201	20.318	USV_11
21.524	21.613	USV_12
22.042	22.122	USV_13
22.593	22.612000000000002	USV_14
23.374000000000002	23.479	USV_15
23.742	23.806	USV_16
23.872	23.939	USV_17
25.831	25.911	USV_18
26.051000000000002	26.09	USV_19
26.413	26.501	USV_20
27.174	27.298000000000002	USV_21
27.785	27.815	USV_22
29.672	29.796	USV_23
30.934	31.037	USV_24
32.082	32.2	USV_25
37.713	37.757	USV_26
38.234	38.324	USV_27
38.417	38.455	USV_28
48.676	48.815	USV_29
48.93	49.07	USV_30
49.184	49.228	USV_31
49.438	49.527	USV_32
52.937	52.963	USV_33
53.045	53.102	USV_34
53.175	53.226	USV_35
53.34	53.476	USV_36
53.554	53.697	USV_37
53.96	54.097	USV_38
54.781	54.834	USV_39
54.966	54.996	USV_40
56.8	56.9	USV_41
57.751	57.89	USV_42
57.981	58.07	USV_43
58.707	58.854	USV_44
59.243	59.388	USV_45
59.634	59.74	USV_46
59.809	59.861	USV_47
60.304	60.443	USV_48
61.337	61.48	USV_49
63.254	63.334	USV_50
65.583	65.629	USV_51
66.517	66.631	USV_52
69.041	69.09	USV_53
75.01	75.099	USV_54
78.669	78.758	USV_55
80.641	80.734	USV_56
82.789	82.836	USV_57
83.201	83.259	USV_58
85.575	85.613	USV_59
90.797	90.907	USV_60
94.976	94.993	USV_61
95.17	95.297	USV_62
95.6	95.661	USV_63
95.842	95.897	USV_64
95.988	96.061	USV_65
96.143	96.278	USV_66
97.531	97.665	USV_67
101.797	101.944	USV_68
110.322	110.338	USV_69
111.762	111.864	USV_70
145.356	145.491	USV_71
145.973	146.062	USV_72
148.164	148.268	USV_73
149.617	149.625	USV_74
150.846	150.917	USV_75
151.387	151.424	USV_76
151.85	151.959	USV_77
152.083	152.152	USV_78
152.278	152.352	USV_79
152.498	152.561	USV_80
152.671	152.735	USV_81
152.872	152.938	USV_82
153.079	153.131	USV_83
153.27	153.337	USV_84
153.471	153.508	USV_85
155.2	155.219	USV_86
156.029	156.086	USV_87
156.149	156.215	USV_88
156.285	156.354	USV_89
166.601	166.667	USV_90
166.816	166.838	USV_91
168.214	168.225	USV_92
169.304	169.313	USV_93
169.623	169.655	USV_94
169.843	169.877	USV_95
170.466	170.492	USV_96
170.59	170.635	USV_97
170.735	170.765	USV_98
171.007	171.035	USV_99
171.159	171.205	USV_100
171.323	171.335	USV_101
171.454	171.5	USV_102
171.751	171.762	USV_103
171.848	171.922	USV_104
172.282	172.325	USV_105
172.501	172.614	USV_106
172.695	172.709	USV_107
173.418	173.529	USV_108
174.559	174.647	USV_109
174.713	174.789	USV_110
175.108	175.221	USV_111
175.33	175.386	USV_112
175.532	175.57	USV_113
175.69	175.758	USV_114
175.912	175.961	USV_115
176.086	176.159	USV_116
176.267	176.343	USV_117
176.48	176.545	USV_118
177.253	177.287	USV_119
178.551	178.583	USV_120
178.988	179.02	USV_121
180.504	180.578	USV_122
182.781	182.855	USV_123
186.869	186.894	USV_124
188.424	188.487	USV_125
190.015	190.03	USV_126
190.232	190.29	USV_127
191.398	191.431	USV_128
193.517	193.557	USV_129
193.859	193.914	USV_130
194.17	194.179	USV_131
194.504	194.514	USV_132
195.058	195.082	USV_133
195.122	195.137	USV_134
195.372	195.476	USV_135
195.537	195.604	USV_136
195.646	195.673	USV_137
195.76	195.787	USV_138
195.969	196.007	USV_139
196.089	196.108	USV_140
196.165	196.225	USV_141
196.953	197.017	USV_142
197.316	197.359	USV_143
198.429	198.457	USV_144
198.559	198.62	USV_145
198.709	198.806	USV_146
198.863	198.986	USV_147
199.083	199.175	USV_148
199.294	199.364	USV_149
199.492	199.556	USV_150
199.652	199.695	USV_151
199.877	199.899	USV_152
199.943	199.975	USV_153
200.019	200.121	USV_154
200.219	200.312	USV_155
200.424	200.543	USV_156
200.617	200.7	USV_157
200.783	200.818	USV_158
200.923	200.953	USV_159
201.064	201.124	USV_160
201.24	201.292	USV_161
201.582	201.643	USV_162
201.744	201.818	USV_163
202.103	202.134	USV_164
202.253	202.334	USV_165
202.457	202.513	USV_166
202.622	202.69	USV_167
202.732	202.759	USV_168
202.816	202.873	USV_169
202.988	203.053	USV_170
203.193	203.252	USV_171
203.383	203.451	USV_172
203.953	203.981	USV_173
204.11599999999999	204.185	USV_174
204.317	204.386	USV_175
204.512	204.524	USV_176
204.688	204.76	USV_177
204.88400000000001	204.928	USV_178
205.056	205.122	USV_179
205.248	205.28	USV_180
208.732	208.786	USV_181
208.962	209.097	USV_182
209.208	209.254	USV_183
209.544	209.592	USV_184
209.977	210.02	USV_185
213.367	213.38	USV_186
218.806	218.854	USV_187
218.971	218.985	USV_188
219.159	219.229	USV_189
219.341	219.411	USV_190
219.567	219.628	USV_191
221.047	221.103	USV_192
221.444	221.506	USV_193
222.998	223.046	USV_194
223.171	223.182	USV_195
224.167	224.175	USV_196
224.321	224.335	USV_197
224.535	224.569	USV_198
224.709	224.722	USV_199
224.89	224.937	USV_200
225.299	225.326	USV_201
225.461	225.503	USV_202
225.639	225.691	USV_203
225.819	225.855	USV_204
225.999	226.068	USV_205
226.181	226.242	USV_206
226.38400000000001	226.441	USV_207
226.588	226.61	USV_208
226.799	226.851	USV_209
227.205	227.249	USV_210
229.169	229.23	USV_211
229.353	229.41	USV_212
236.764	236.781	USV_213
236.9	236.961	USV_214
237.128	237.137	USV_215
237.447	237.488	USV_216
237.612	237.68	USV_217
237.821	237.86	USV_218
237.979	238.037	USV_219
239.023	239.071	USV_220
239.381	239.443	USV_221
239.987	240.091	USV_222
240.81	240.838	USV_223
241.264	241.281	USV_224
244.27100000000002	244.301	USV_225
244.569	244.581	USV_226
245.434	245.465	USV_227
245.531	245.625	USV_228
245.943	245.956	USV_229
246.286	246.367	USV_230
247.03	247.11	USV_231
248.405	248.449	USV_232
248.55	248.622	USV_233
248.712	248.809	USV_234
248.894	248.954	USV_235
249.06	249.124	USV_236
249.226	249.291	USV_237
249.413	249.504	USV_238
249.586	249.656	USV_239
249.769	249.851	USV_240
249.952	250.027	USV_241
250.137	250.217	USV_242
250.319	250.4	USV_243
250.511	250.582	USV_244
250.694	250.771	USV_245
250.887	250.954	USV_246
251.092	251.133	USV_247
251.27	251.325	USV_248
251.469	251.482	USV_249
251.635	251.689	USV_250
251.826	251.862	USV_251
251.999	252.056	USV_252
257.139	257.15	USV_253
258.241	258.256	USV_254
259.226	259.249	USV_255
260.549	260.565	USV_256
260.692	260.714	USV_257
260.902	260.937	USV_258
261.037	261.098	USV_259
261.139	261.157	USV_260
262.754	262.894	USV_261
265.273	265.404	USV_262
265.611	265.626	USV_263
268.35699999999997	268.391	USV_264
268.862	268.881	USV_265
268.912	268.933	USV_266
269.113	269.209	USV_267
269.247	269.297	USV_268
269.374	269.415	USV_269
270.865	270.881	USV_270
271.973	271.982	USV_271
272.449	272.483	USV_272
273.471	273.513	USV_273
273.779	273.816	USV_274
274.25	274.3	USV_275
274.399	274.451	USV_276
274.731	274.81	USV_277
275.249	275.319	USV_278
275.495	275.511	USV_279
276.659	276.698	USV_280
276.818	276.867	USV_281
277.004	277.06	USV_282
281.272	281.306	USV_283
281.744	281.776	USV_284
281.824	281.854	USV_285
282.512	282.57	USV_286
282.833	282.904	USV_287
283.464	283.607	USV_288
284.457	284.5	USV_289
287.163	287.179	USV_290
288.579	288.588	USV_291
289.601	289.639	USV_292
291.813	291.823	USV_293
292.51	292.527	USV_294
293.298	293.313	USV_295
293.762	293.778	USV_296
293.929	293.941	USV_297
294.308	294.341	USV_298
295.57	295.605	USV_299
295.683	295.701	USV_300
296.301	296.312	USV_301
296.447	296.503	USV_302
296.627	296.688	USV_303
296.815	296.909	USV_304
297.018	297.095	USV_305
297.21	297.27	USV_306
297.394	297.467	USV_307
297.598	297.655	USV_308
297.811	297.853	USV_309
297.99	298.044	USV_310
298.286	298.404	USV_311
298.486	298.5	USV_312
298.637	298.653	USV_313
298.859	298.924	USV_314
302.328	302.336	USV_315
305.535	305.554	USV_316
307.863	307.891	USV_317
309.109	309.118	USV_318
312.525	312.533	USV_319
313.09	313.117	USV_320
314.14	314.153	USV_321
314.335	314.352	USV_322
315.415	315.453	USV_323
315.991	316.033	USV_324
316.105	316.149	USV_325
317.196	317.205	USV_326
317.488	317.498	USV_327
318.433	318.442	USV_328
319.437	319.446	USV_329
319.524	319.536	USV_330
319.659	319.678	USV_331
319.89300000000003	319.91	USV_332
320.851	320.924	USV_333
320.992	321.029	USV_334
321.388	321.437	USV_335
321.911	321.944	USV_336
322.718	322.751	USV_337
322.785	322.826	USV_338
323.142	323.252	USV_339
324.997	325.026	USV_340
327.143	327.192	USV_341
329.001	329.01	USV_342
330.174	330.182	USV_343
330.417	330.431	USV_344
331.098	331.117	USV_345
331.458	331.489	USV_346
332.919	332.937	USV_347
334.72	334.742	USV_348
335.434	335.501	USV_349
335.703	335.76	USV_350
336.901	336.913	USV_351
337.257	337.27	USV_352
337.437	337.449	USV_353
337.497	337.586	USV_354
337.626	337.637	USV_355
337.665	337.686	USV_356
338.341	338.363	USV_357
338.674	338.697	USV_358
339.14300000000003	339.202	USV_359
339.466	339.53	USV_360
339.722	339.772	USV_361
340.946	340.99	USV_362
341.392	341.434	USV_363
341.508	341.518	USV_364
341.834	341.866	USV_365
343.686	343.703	USV_366
346.384	346.41	USV_367
346.837	346.888	USV_368
346.93	346.991	USV_369
347.036	347.066	USV_370
347.402	347.411	USV_371
347.728	347.748	USV_372
348.203	348.213	USV_373
348.351	348.36	USV_374
354.235	354.265	USV_375
354.817	354.838	USV_376
355.198	355.244	USV_377
357.071	357.087	USV_378
358.291	358.314	USV_379
358.409	358.433	USV_380
358.656	358.671	USV_381
360.236	360.263	USV_382
362.396	362.406	USV_383
365.358	365.392	USV_384
365.641	365.666	USV_385
366.667	366.729	USV_386
367.73	367.751	USV_387
370.829	370.9	USV_388
371.172	371.196	USV_389
371.522	371.562	USV_390
372.82	372.853	USV_391
373.033	373.052	USV_392
373.88	373.903	USV_393
374.17	374.218	USV_394
374.321	374.336	USV_395
375.91	375.969	USV_396
376.105	376.121	USV_397
376.42	376.449	USV_398
379.43	379.441	USV_399
383.964	383.977	USV_400
388.112	388.196	USV_401
391.385	391.454	USV_402
396.887	396.976	USV_403
399.788	399.8	USV_404
450.427	450.496	USV_405
451.236	451.257	USV_406
455.993	456.129	USV_407
463.461	463.606	USV_408
482.508	482.6	USV_409
493.816	493.886	USV_410
496.823	496.922	USV_411
497.901	498.027	USV_412
507.229	507.239	USV_413
507.723	507.744	USV_414
508.58	508.609	USV_415
508.948	509.001	USV_416
509.191	509.202	USV_417
509.249	509.375	USV_418
509.496	509.526	USV_419
510.082	510.149	USV_420
510.234	510.298	USV_421
515.639	515.684	USV_422
515.786	515.923	USV_423
517.282	517.292	USV_424
519.123	519.215	USV_425
535.332	535.443	USV_426
540.936	541.008	USV_427
541.396	541.417	USV_428
541.527	541.556	USV_429
541.662	541.7	USV_430
542.09	542.126	USV_431
542.229	542.3	USV_432
542.404	542.436	USV_433
542.54	542.609	USV_434
549.021	549.032	USV_435
550.915	550.963	USV_436
552.093	552.134	USV_437
552.173	552.201	USV_438
554.88	554.901	USV_439
555.364	555.388	USV_440
556.426	556.442	USV_441
556.615	556.68	USV_442
556.727	556.736	USV_443
557.675	557.71	USV_444
558.363	558.386	USV_445
560.646	560.703	USV_446
560.901	560.997	USV_447
561.055	561.122	USV_448
561.361	561.371	USV_449
561.676	561.725	USV_450
565.989	566.084	USV_451
566.259	566.287	USV_452
567.145	567.247	USV_453
571.305	571.323	USV_454
572.71	572.729	USV_455
573.26	573.279	USV_456
573.564	573.591	USV_457
574.426	574.436	USV_458
581.245	581.258	USV_459
581.413	581.424	USV_460
581.607	581.624	USV_461
585.742	585.798	USV_462
589.093	589.123	USV_463
589.689	589.709	USV_464
590.056	590.068	USV_465
593.467	593.589	USV_466
593.839	593.868	USV_467
596.48	596.519	USV_468
600.42	600.435	USV_469
604.163	604.231	USV_470
605.076	605.122	USV_471
606.184	606.193	USV_472
608.004	608.039	USV_473
608.247	608.257	USV_474
608.718	608.728	USV_475
610.654	610.665	USV_476
611.963	611.991	USV_477
612.044	612.067	USV_478
613.523	613.538	USV_479
613.568	613.678	USV_480
615.462	615.484	USV_481
615.849	615.869	USV_482
615.991	616.029	USV_483
616.139	616.162	USV_484
616.249	616.273	USV_485
616.438	616.449	USV_486
616.58	616.644	USV_487
616.866	616.907	USV_488
616.999	617.111	USV_489
617.172	617.205	USV_490
617.321	617.36	USV_491
617.837	617.925	USV_492
617.984	618.02	USV_493
618.145	618.163	USV_494
619.032	619.068	USV_495
620.381	620.41	USV_496
620.607	620.65	USV_497
620.99	621.025	USV_498
621.136	621.188	USV_499
621.359	621.392	USV_500
621.764	621.786	USV_501
622.093	622.11	USV_502
622.264	622.274	USV_503
622.425	622.433	USV_504
622.49	622.508	USV_505
622.575	622.6	USV_506
622.786	622.811	USV_507
623.431	623.452	USV_508
624.174	624.261	USV_509
625.736	625.746	USV_510
626.005	626.063	USV_511
626.558	626.575	USV_512
627.714	627.743	USV_513
628.312	628.34	USV_514
628.459	628.495	USV_515
629.044	629.094	USV_516
629.678	629.691	USV_517
629.815	629.825	USV_518
629.942	629.978	USV_519
631.405	631.43	USV_520
631.717	631.818	USV_521
632.08	632.12	USV_522
632.151	632.159	USV_523
632.451	632.488	USV_524
636.491	636.518	USV_525
636.833	636.843	USV_526
637.691	637.709	USV_527
637.776	637.873	USV_528
638.266	638.29	USV_529
640.5	640.566	USV_530
640.784	640.813	USV_531
643.039	643.057	USV_532
643.945	643.972	USV_533
644.378	644.396	USV_534
644.882	644.898	USV_535
645.497	645.505	USV_536
645.962	645.982	USV_537
646.292	646.302	USV_538
647.31	647.38	USV_539
650.574	650.59	USV_540
650.706	650.722	USV_541
651.465	651.474	USV_542
651.633	651.67	USV_543
651.778	651.819	USV_544
654.302	654.312	USV_545
654.762	654.794	USV_546
655.279	655.289	USV_547
656.811	656.823	USV_548
657.933	657.971	USV_549
658.29	658.323	USV_550
659.144	659.176	USV_551
660.154	660.174	USV_552
660.356	660.369	USV_553
661.827	661.849	USV_554
662.49	662.524	USV_555
664.481	664.489	USV_556
664.784	664.804	USV_557
664.975	664.995	USV_558
665.051	665.07	USV_559
665.254	665.292	USV_560
665.669	665.68	USV_561
667.142	667.164	USV_562
667.289	667.364	USV_563
667.805	667.822	USV_564
670.879	670.899	USV_565
671.011	671.022	USV_566
671.14	671.165	USV_567
671.635	671.684	USV_568
671.713	671.721	USV_569
672.103	672.139	USV_570
672.49	672.563	USV_571
675.932	675.94	USV_572
677.483	677.491	USV_573
677.972	678.008	USV_574
678.077	678.115	USV_575
680.221	680.231	USV_576
683.124	683.14	USV_577
684.541	684.57	USV_578
684.974	685.014	USV_579
685.317	685.358	USV_580
686.093	686.108	USV_581
686.21	686.248	USV_582
690.861	690.869	USV_583
691.148	691.18	USV_584
691.238	691.27	USV_585
691.489	691.518	USV_586
691.586	691.602	USV_587
692.008	692.028	USV_588
695.989	696.051	USV_589
696.186	696.266	USV_590
696.392	696.475	USV_591
696.584	696.671	USV_592
696.795	696.883	USV_593
696.987	697.07	USV_594
697.193	697.275	USV_595
697.386	697.45	USV_596
697.582	697.656	USV_597
697.79	697.835	USV_598
698.359	698.392	USV_599
701.087	701.098	USV_600
702.039	702.079	USV_601
702.851	702.867	USV_602
703.582	703.593	USV_603
703.701	703.738	USV_604
703.776	703.839	USV_605
703.959	704.03	USV_606
704.151	704.218	USV_607
704.33	704.413	USV_608
704.536	704.606	USV_609
704.738	704.825	USV_610
704.95	704.974	USV_611
705.069	705.173	USV_612
705.284	705.363	USV_613
705.461	705.54	USV_614
705.665	705.74	USV_615
705.863	705.936	USV_616
706.042	706.113	USV_617
706.246	706.258	USV_618
708.212	708.243	USV_619
708.645	708.694	USV_620
711.138	711.211	USV_621
711.408	711.416	USV_622
711.696	711.744	USV_623
