,start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,25_kHz_call
0,198.258,198.274,USV_1,0.0159999999999911,1,78.21899999999997,True,192.321,270.54,5.937000000000012,-72.28199999999995,0.013400750234723,0.02197265625,16002.083868071106,21150.566885759567,0.0009426151446097,32238.28125,26749.62468965519,1.5667771720829826,5.211650400446496,4.769070256606309,14.870950741484291,9.9131496735583,13.80211980449991,44.72459938222835,1
1,198.38,198.401,USV_2,0.021000000000015,1,78.21899999999997,True,192.321,270.54,6.0589999999999975,-72.15999999999997,0.0100988913327455,0.0171142578125,13932.226068039328,18077.519243597384,0.0001430972604423,30206.25,27873.16625965826,3.1721217957337733,3.470473009691861,6.014080059572786,14.916480738857151,8.951324731176104,16.134500113659072,47.54141054180678,1
2,198.454,198.486,USV_3,0.0319999999999822,1,78.21899999999997,True,192.321,270.54,6.13300000000001,-72.08599999999996,0.0102452058345079,0.0201764787946428,14305.354496696453,17200.5254430764,0.0002068397597522,30073.660714285717,24142.63271392757,1.7334900937301814,3.5444979864902137,4.708310298702495,16.398841024323158,10.378424964103669,14.909624884769702,52.59968971818587,1
3,199.767,199.859,USV_4,0.0920000000000129,1,78.21899999999997,True,192.321,270.54,7.445999999999998,-70.77299999999997,0.0108078746125102,0.0372611380912162,11986.690774418885,12987.043725001253,2.1880194672605205e-05,25923.141891891893,25500.47176880493,3.075373552751548,2.735632608698741,5.76561471815312,15.322590996227742,11.541167461240615,18.589282817971185,62.9602789173028,1
4,199.959,200.09,USV_5,0.1310000000000002,1,78.21899999999997,True,192.321,270.54,7.638000000000005,-70.58099999999996,0.0099464291706681,0.0347243088942307,14182.676652575285,13814.730331507792,4.136505254188969e-05,28673.07692307692,23861.66432366689,2.318169421466469,3.116098121523935,5.168912093436109,15.331760966508556,10.989948233357826,15.419547256443344,62.02089887892854,1
5,200.167,200.243,USV_6,0.0759999999999934,1,78.21899999999997,True,192.321,270.54,7.846000000000004,-70.37299999999996,0.0097829662263393,0.0442445816532258,15267.980558728685,14102.736054907004,0.0002770828627371,28778.225806451614,24010.82918571111,2.2532636094926706,3.025632813007637,6.462896699491401,18.214796442753325,10.527421225882115,14.85416311675606,62.15824281564377,1
6,200.357,200.41,USV_7,0.0529999999999972,1,78.21899999999997,True,192.321,270.54,8.036000000000001,-70.18299999999996,0.0087802037596702,0.0372092507102272,14906.310839971771,14115.391944727897,0.0001076098848545,29002.840909090908,22809.695001658813,1.7129526220330318,3.51908159204782,4.771078998680033,15.789192894168488,9.772047509254984,16.069931758667323,60.48395643112651,1
7,200.531,200.611,USV_8,0.079999999999984,1,78.21899999999997,True,192.321,270.54,8.210000000000008,-70.00899999999996,0.0079537434503436,0.0367965698242187,15819.656721846772,14382.174871871292,0.0002562378210392,30263.671875,21389.380722098,1.900808543212647,4.610356890110512,6.263356848087573,15.7865222328201,10.792772540964016,14.98094378465472,61.7277054512169,1
8,201.543,201.602,USV_9,0.0589999999999975,1,78.21899999999997,True,192.321,270.54,9.222000000000008,-68.99699999999996,0.009391076862812,0.0429890950520833,17244.357384703544,14833.007718676648,0.0001208107531202,30031.25,24447.179968706547,2.8899923076332885,5.741290887800637,4.484317297010588,15.652763059387643,11.82228550821025,16.062140335994894,61.51620631277232,0
9,201.635,201.714,USV_10,0.0790000000000077,1,78.21899999999997,True,192.321,270.54,9.313999999999991,-68.90499999999997,0.0080201746895909,0.0468215942382812,16518.220981063598,13111.37624798458,2.32493203156554e-05,29630.859375,23267.94537603425,2.282811141483239,6.645610400660994,6.673853812149727,17.424914935843965,11.121196667994091,16.81057570536582,62.3868046462861,0
10,205.758,205.783,USV_11,0.0249999999999772,1,78.21899999999997,True,192.321,270.54,13.437000000000012,-64.78199999999995,0.0069301123730838,0.033203125,17867.60037676671,18891.242901155525,0.001390350035344,33000.0,22648.588276358518,2.796734162680868,5.456069236922239,4.997600910461537,17.527490377544396,12.17230102912738,16.301954454704497,52.52994772433542,1
11,205.946,205.968,USV_12,0.0219999999999913,1,78.21899999999997,True,192.321,270.54,13.625,-64.59399999999997,0.0098870238289237,0.0401278409090909,16786.318728116425,15249.323283781572,0.0003216491209262,29292.61363636364,21126.645620549854,2.14731153953812,7.185265557022839,6.530408867928629,16.509080264172745,11.95983712826323,14.82000912222842,53.78091651647655,1
12,206.095,206.152,USV_13,0.0569999999999879,1,78.21899999999997,True,192.321,270.54,13.774,-64.44499999999996,0.0104445768520236,0.0456034342447916,17007.405377447943,15090.887169522,0.0001266891938073,28554.6875,23900.04402222351,2.1295556060416554,6.024286760903933,5.792650613888871,15.107337905579843,12.414783869365516,16.66651240720589,60.18364935193791,1
