start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
198.25799999999998,198.274,USV_1,0.016000000000019554,1,78.21899999999997,True,192.331,270.54999999999995,5.9269999999999925,-72.29199999999997,0.013402409851551056,0.02197265625,16105.086543866157,21307.71302816346,0.001012506282197866,32332.03125,26746.909572733857,1.5661658560989973,5.210302569880463,4.773007063193094,14.872849972020003,9.922769615504079,13.72639150981132,44.58037921946263
198.38,198.40099999999998,USV_2,0.020999999999986585,1,78.21899999999997,True,192.331,270.54999999999995,6.049000000000007,-72.16999999999996,0.010098638944327831,0.0171142578125,13941.45432882251,18097.26021550484,0.00014394890300648854,30215.625,27865.701117222146,3.172092332733102,3.4705046616810273,6.0157719523057,14.922736858781997,8.968505897318089,15.968588678633981,47.58263332546311
198.45399999999998,198.486,USV_3,0.03200000000001069,1,78.21899999999997,True,192.331,270.54999999999995,6.1229999999999905,-72.09599999999998,0.01024541910737753,0.020176478794642856,14304.39064411938,17201.546266710156,0.0002067978937235081,30073.660714285714,24142.594658070124,1.7336110199938797,3.545315344645019,4.70700327381317,16.38961046485158,10.383404772094574,14.978069267087587,52.62538058977092
199.767,199.85899999999998,USV_4,0.09199999999998454,1,78.21899999999997,True,192.331,270.54999999999995,7.436000000000007,-70.78299999999996,0.010807842947542667,0.037261138091216214,12018.27906316684,13061.351643694306,2.5720067175810776e-05,25958.614864864863,25500.7002901592,3.0753450123287367,2.7356749140487926,5.765105444577725,15.315879235532336,11.54224890185489,18.576475891869684,62.90450071238178
199.959,200.08999999999997,USV_5,0.1309999999999718,1,78.21899999999997,True,192.331,270.54999999999995,7.628000000000014,-70.59099999999995,0.010006728582084179,0.03514667585784314,14180.30030789486,13580.820771865887,3.6256326006160875e-05,28641.54411764706,23786.676055724147,2.3534603204766973,3.14345990609216,5.26525815967199,15.385856383864358,11.012060442379022,15.462114182929133,62.8488419903592
200.167,200.243,USV_6,0.0759999999999934,1,78.21899999999997,True,192.331,270.54999999999995,7.836000000000013,-70.38299999999995,0.00978296622633934,0.044244581653225805,15267.980558728683,14102.736054907004,0.0002770828627371208,28778.225806451614,24010.82918571111,2.2532636094926706,3.025632813007637,6.462896699491401,18.214796442753325,10.527421225882115,14.85416311675606,62.15824281564377
200.357,200.41,USV_7,0.05299999999999727,1,78.21899999999997,True,192.331,270.54999999999995,8.02600000000001,-70.19299999999996,0.008780203759670258,0.03720925071022727,14906.310839971773,14115.391944727895,0.0001076098848545612,29002.840909090908,22809.695001658813,1.7129526220330318,3.51908159204782,4.771078998680033,15.789192894168487,9.772047509254985,16.069931758667323,60.48395643112651
200.53099999999998,200.611,USV_8,0.0800000000000125,1,78.21899999999997,True,192.331,270.54999999999995,8.199999999999989,-70.01899999999998,0.007953949272632599,0.03679656982421875,15813.198418181908,14371.463952412862,0.00025195575791979723,30260.7421875,21389.380722098,1.9008197821681194,4.610902673954993,6.262859841715878,15.78577861542563,10.794059580649854,14.993958062173704,61.744364278409236
201.54299999999998,201.60199999999998,USV_9,0.0589999999999975,1,78.21899999999997,True,192.331,270.54999999999995,9.211999999999989,-69.00699999999998,0.009391076862812042,0.042989095052083336,17244.357384703544,14833.007718676648,0.00012081075312023621,30031.25,24447.179968706547,2.8899923076332885,5.741290887800637,4.484317297010588,15.652763059387645,11.82228550821025,16.062140335994894,61.51620631277232
201.635,201.714,USV_10,0.07900000000000773,1,78.21899999999997,True,192.331,270.54999999999995,9.304000000000002,-68.91499999999996,0.008020174689590931,0.04682159423828125,16518.220981063598,13111.37624798458,2.3249320315655396e-05,29630.859375,23267.94537603425,2.282811141483239,6.645610400660994,6.673853812149727,17.424914935843965,11.121196667994093,16.81057570536582,62.3868046462861
205.75799999999998,205.783,USV_11,0.025000000000005684,1,78.21899999999997,True,192.331,270.54999999999995,13.426999999999992,-64.79199999999997,0.006930241826921701,0.033203125,17800.820862922134,18767.112259090816,0.0013788942925235161,32921.875,22648.588276358514,2.796826218892671,5.457392471659936,4.996726781697613,17.51420041237834,12.144294437529929,16.210409053251645,52.59939547696047
205.946,205.968,USV_12,0.02199999999999136,1,78.21899999999997,True,192.331,270.54999999999995,13.615000000000009,-64.60399999999996,0.009887023828923702,0.04012784090909091,16786.318728116425,15249.323283781572,0.0003216491209262803,29292.613636363636,21126.645620549858,2.14731153953812,7.185265557022839,6.530408867928629,16.509080264172745,11.95983712826323,14.82000912222842,53.78091651647655
206.095,206.152,USV_13,0.05699999999998795,1,78.21899999999997,True,192.331,270.54999999999995,13.76400000000001,-64.45499999999996,0.010444576852023602,0.045603434244791664,17007.405377447943,15090.887169522,0.00012668919380730642,28554.6875,23900.04402222351,2.1295556060416554,6.024286760903933,5.7926506138888705,15.107337905579845,12.414783869365515,16.66651240720589,60.18364935193791
207.313,207.34699999999998,USV_14,0.033999999999991815,1,78.21899999999997,True,192.331,270.54999999999995,14.982,-63.236999999999966,0.07812170684337616,0.0056640625,6592.620041490077,13488.179614326915,5.1389854114736815e-05,16931.25,26535.633096128535,3.4516265295022848,5.419766526220552,5.60457038477295,18.050157107759432,11.405805058054439,16.252627966567456,48.37756062203845
