start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
0.291,0.329,USV_1,0.038000000000000034,,,None,,,,,0.006470462307333946,0.02885167738970588,15364.685251898874,16016.675950073206,0.0001581777132710868,31152.573529411766,20631.87519806218,3.0717055376587816,3.7579393366391822,5.456681984168653,14.224288568869419,11.799936519341284,15.596648611225774,56.8197465978411
0.601,0.659,USV_2,0.05800000000000005,,,None,,,,,0.011466006748378277,0.009053548177083334,12659.127621272142,14462.22339680321,3.846855806844004e-05,28734.375,21058.491653543784,2.6920278251827217,3.448491320255695,5.439371803527879,15.894428737002782,12.447168978237366,14.585189470860541,56.89866667314132
1.484,1.568,USV_3,0.08400000000000007,,,None,,,,,0.010091288015246391,0.023128733915441176,13521.103887406945,14728.743110166088,3.9715393084612855e-05,29583.639705882353,17777.571251150173,2.5515796431569093,5.60239056431377,5.014871149952781,15.529400347108533,11.765624044011462,14.504435695061819,58.80553686227457
2.11,2.25,USV_4,0.14000000000000012,,,None,,,,,0.008188028819859028,0.02373046875,14188.528283374046,13964.554873956457,1.1483078422017274e-05,29988.06818181818,17353.62032613339,2.580415184198367,3.1934048751223436,5.13924065450732,15.802085819578627,11.76034208422015,15.03696300538211,60.74349519222159
3.649,3.772,USV_5,0.12299999999999978,,,None,,,,,0.01282650139182806,0.0361328125,12846.626646481098,12859.626220268901,2.490835094276729e-05,26642.578125,18703.650385119417,3.0526686489462933,5.2978222646319155,7.738755684972908,13.258060910170016,12.820900511725663,17.33666834889705,63.6249118430216
3.955,4.017,USV_6,0.06200000000000028,,,None,,,,,0.021350979804992676,0.006413386418269231,10232.565187803517,14742.270477353732,0.00011366383882864465,23935.096153846152,15837.755676254526,2.615528107350588,5.900880534465969,8.782911203926533,12.56732353089058,9.131260244544617,12.265031261390662,55.34928176157425
5.014,5.111,USV_7,0.09699999999999953,,,None,,,,,0.013874547556042671,0.03630809294871795,15155.554266973822,13774.868382684359,5.294828741035482e-05,28192.30769230769,20575.958064461534,2.950597045113907,5.7257714861423725,5.70775976781511,16.86063934541507,11.448518611335755,15.83065709123757,60.68455550040498
6.272,6.375,USV_8,0.10299999999999976,,,None,,,,,0.010987666435539722,0.045618568978658534,16084.83612460469,13806.05090427915,0.00013570694400666324,28296.493902439026,19866.757620123142,2.7824982335212343,6.7007193964471385,5.148188818069986,15.143386701780543,11.971964312273636,16.04026306116427,63.37567929249676
6.718,6.729,USV_9,0.01100000000000012,,,None,,,,,0.004792784806340933,0.039760044642857144,19216.707663211255,21133.860873815203,0.0014620815693954234,33401.78571428572,15006.55881028524,1.8173507162413227,1.7701303358172502,4.298707846282722,12.016585912697265,9.498710831176806,12.56428164780383,41.46069668581554
9.283,9.370000000000001,USV_10,0.08700000000000152,,,None,,,,,0.011578827165067196,0.023018973214285716,10883.354790478896,12727.25608204091,1.1581133248900457e-05,25526.785714285714,28097.087641309074,2.7058518875475426,2.6722898150989525,5.178882265142339,15.508153932052814,10.46419564581357,18.533524389924924,60.02553964663791
