trial_num,trial_start,open_time,open_latency
1,65.10849999999999,,
2,448.1324,581.1184000000001,132.98600000000005
3,803.1564000000001,,
4,1192.2604,,
5,1568.1404,1682.1103999999998,113.9699999999998
