trial_num,trial_start,open_time,open_latency
1,59.641,61.24100000000001,1.6000000000000085
2,399.0973,528.2333,129.13599999999997
3,738.8383,,
4,1089.8163,1296.0463,206.23000000000002
5,1424.5663,,
