start,stop,label,duration,trial_num,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
52.882000000000005,52.892,USV_1,0.00999999999999801,1,0.006993887480348349,0.053914388020833336,21746.49919298893,17145.466212060364,0.0003797209690610484,35125.0,29452.289698654135,2.795034555477162,2.8531860728371146,6.897873424286455,16.695411545570774,11.165168825124063,13.796429021483888,46.0743157389673
53.05500000000001,53.201,USV_2,0.1459999999999937,1,0.009885297156870365,0.056563527960526314,19592.762108738196,13203.118389067971,3.768991734056473e-05,32907.89473684211,26845.806425900402,2.2962387211400332,4.204826052670644,5.816475451324665,16.920535715867025,12.228145638073219,14.233660144765743,65.24698923933971
53.365,53.374,USV_3,0.009000000000000341,1,0.00976533629000187,0.018147786458333332,21171.105569039537,21555.58618511703,0.0006709901820710589,35546.875,27458.680962341186,2.1277287351620937,2.003922552491547,5.479289633918767,10.29045838678605,7.876024228420633,13.230480114507083,38.174048789451874
53.512,53.615,USV_4,0.10300000000000153,1,0.030867451801896095,0.07886337652439024,19625.057760379816,11900.760833860033,2.772537551571806e-05,31550.30487804878,24593.603451771007,2.614031876193541,4.38755965897056,4.447115875326473,15.36755395071373,11.406637876323366,15.186673451900985,67.20363250768432
54.087,54.112,USV_5,0.02499999999999858,1,0.011343545280396938,0.026631673177083332,20083.742070668042,18845.18994520085,0.0011285407821986445,33992.1875,28177.860818468034,2.4770161851165864,3.682085482643258,4.4475973521501,12.610976905119665,10.606283878443888,13.934867650233208,51.10714448326397
54.264,54.274,USV_6,0.00999999999999801,1,0.007981390692293644,0.042277018229166664,20301.63024540362,17239.173685515176,0.0007322504029247898,33640.625,27224.63606741831,2.6452287786005915,5.329157222546007,4.841222653867386,13.30135120026504,13.239586942703076,15.25617694744124,41.096254404916465
54.42400000000001,54.469,USV_7,0.0449999999999946,1,0.011369748041033745,0.024247018914473683,19450.697028646795,16930.628569251465,0.0005451582319112204,34598.68421052631,25917.16865761868,2.3701677609656566,5.685760747634805,4.878651998807644,15.682173514034979,11.800828002115326,14.008521980948922,56.707089968220174
54.505,54.52,USV_8,0.015000000000000568,1,0.005308601539582014,0.03057861328125,22399.192248885218,23127.184363697033,0.00228882942438439,41460.9375,27288.619452997496,2.3701039697547346,3.4865874300768107,6.213746052677431,13.950167311652896,11.799221079836933,13.328277993433842,43.06466600821581
55.517,55.526,USV_9,0.009000000000000341,1,0.0059068710543215275,0.025553385416666668,22650.214965478295,23795.94483987638,0.0015027025108388659,36500.0,29308.89970176078,1.967948886542283,3.7862548986757356,5.514997813133665,13.3064223881603,10.037976455978828,11.7191169864845,36.49839106497193
55.583000000000006,55.697,USV_10,0.11399999999999721,1,0.013851022347807884,0.05025499131944444,20321.645773816013,13577.901360954858,4.215653517942998e-05,33812.5,27073.5979644579,2.556666579703444,3.1762377914692475,4.784727197901388,15.391149568935788,10.896874842278457,13.825103411822038,63.957519651360236
55.800000000000004,55.898,USV_11,0.09799999999999898,1,0.011784845031797886,0.054055238381410256,19549.4052841701,13806.212102288144,0.00011932379482327448,32831.730769230766,26363.675144491925,2.5305326463982096,3.4521336013769597,4.66371336445377,16.17455692194984,11.099971031605245,14.717855292301506,63.17706321389946
56.025000000000006,56.05200000000001,USV_12,0.027000000000001023,1,0.011179924011230469,0.045335036057692304,20138.446993573445,16512.299417827882,0.0007039038303684921,32855.769230769234,26170.811506996917,2.550492291386505,5.97818529755563,5.972534983089192,12.131014063637904,10.120656315583705,13.323229284182863,53.84474829193394
56.506,56.518,USV_13,0.012000000000000455,1,0.010190831497311592,0.059814453125,21202.588812892012,15801.607836587762,0.00047417669481893853,31968.75,25871.28170595006,2.25760776217593,5.277751762704267,3.2387834948096,14.064513374505351,8.735649217995308,16.249415392762696,45.948800916363794
56.745000000000005,56.852000000000004,USV_14,0.10699999999999932,1,0.013427487574517727,0.06444149925595238,19603.215866485018,13233.085482061204,0.0001198917065819913,32598.214285714286,25251.099967311806,2.3609923754667204,4.222942471622814,4.293509372505146,15.304118386336118,11.716412730459975,14.923806280353393,66.09233011131936
57.088,57.157000000000004,USV_15,0.06900000000000261,1,0.011846348643302917,0.06612723214285714,20075.58463738782,12920.516262797957,9.242533110190967e-05,32367.1875,25267.691228677715,2.1059135708636,3.9035082630469304,4.156523416161622,17.12470508774718,11.346572380670931,13.892268373248106,63.21996274698221
57.266000000000005,57.293000000000006,USV_16,0.027000000000001023,1,0.006764411460608244,0.050931490384615384,21406.155463904608,14334.720921156586,0.00017162761942192517,34233.17307692308,28559.61526486018,2.9518552780142717,2.5915695678864705,4.700973642972506,15.92254565990448,10.638220992412588,14.139592346867875,57.17044065369566
57.617000000000004,57.633,USV_17,0.015999999999998238,1,0.010074008256196976,0.02056884765625,17918.557363504537,16934.79885978414,7.488180133767546e-05,33011.71875,27398.797324118685,2.6450772403305516,1.507332335709612,7.042265537539803,15.037984988737719,10.444086898429223,14.286943195333615,48.0947599698668
58.345000000000006,58.389,USV_18,0.04399999999999693,1,0.013851406052708626,0.05455900493421053,21042.70054941239,15066.75031509245,0.00034413983149155224,33498.35526315789,26881.350435756576,2.6396958690259043,2.9519661768673386,4.968758225928006,15.201874291615132,10.698152173461622,13.361759518051974,59.951057907956894
58.434000000000005,58.449000000000005,USV_19,0.015000000000000568,1,0.007898092269897461,0.046722412109375,19546.48753862722,18419.797707807113,0.0005997381328146064,33867.1875,28387.657591911033,1.0232844056668662,5.382387096179016,5.007775811830936,13.102100358656607,10.961399081648702,14.452840555321792,45.12730630637293
58.635000000000005,58.666000000000004,USV_20,0.030999999999998806,1,0.012310472317039967,0.077392578125,20800.314179215104,12718.71172147519,0.00016411382214043772,31861.60714285714,24421.103405832804,2.5860556947602436,2.893942631521348,5.740346056203543,15.123772052779893,10.7448167588112,14.785712801140878,59.62479856621794
58.815000000000005,58.970000000000006,USV_21,0.15500000000000114,1,0.017755061388015747,0.07461898053278689,20210.89921024935,12869.518203567806,8.569648588456284e-05,33079.91803278688,28011.671919327015,2.7190865843929086,3.7755201041720827,5.609782716619511,14.82525754542061,10.808375237447049,14.086040909471821,67.15266738619638
59.068000000000005,59.129000000000005,USV_22,0.06099999999999994,1,0.010043705813586712,0.064609375,20329.529034620955,13301.672791096604,8.514030083699022e-05,32910.0,26796.262848530674,1.9394529887532062,4.399137066944431,5.59116693734928,15.195662566780834,10.432815370141181,13.813463252816225,62.41057603259999
59.181000000000004,59.235,USV_23,0.05399999999999494,1,0.009525438770651817,0.05185334578804348,20688.69068487612,14330.587549436126,0.0001979027064643732,33953.80434782609,27148.129299939184,2.9230486302569316,3.3248539924635936,5.478543714197096,16.284816541411775,11.960122497610255,16.58289343372922,60.95873989621101
59.716,59.765,USV_24,0.04899999999999949,1,0.008349154144525528,0.05029296875,20351.58466794697,15651.491878968292,0.0006048962131109311,33433.03571428572,27424.227106169765,2.696369371828477,4.101401933454666,5.7945514721647,16.039544419519764,10.371967540577256,14.754676023379309,59.23218666624474
59.953,59.983000000000004,USV_25,0.030000000000001137,1,0.007676410488784313,0.07634626116071429,19929.202812848485,12901.170859442193,5.1525434084173173e-05,31627.23214285714,25781.831977960854,2.1558825419113345,3.105625184820354,4.692990702096805,15.435398760423597,10.092875057601754,14.920870049951946,59.122332896650825
61.705000000000005,61.731,USV_26,0.02599999999999625,1,0.012259028851985931,0.0595703125,20436.787846648844,13836.35868437479,0.0001946461745443602,31726.5625,26131.316418192717,2.161580498087387,3.199766337640653,4.676519581377883,14.21397645996693,12.056421394266657,13.500959205409176,56.98902265481089
