start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
4.383,4.411,USV_1,0.02799999999999958,,,None,,,,,0.0309202391654253,0.00835712139423077,8616.637828516927,15455.031265032125,0.0001654789425874349,19723.55769230769,30685.254941290852,3.0288274645160174,1.3786370089527737,6.597891676963333,17.227884789160786,11.202161947748117,16.458016750186836,49.93836811300401
6.511,6.583,USV_2,0.07200000000000006,,,None,,,,,0.010968105867505074,0.027789938038793104,15301.405798701971,13945.750674241815,8.300214452397086e-05,28959.05172413793,20982.70848389058,2.8630225688906394,3.557794279533269,5.244703215473572,16.71144712219093,11.023663376938396,15.971015067033276,60.49911621976573
6.702,6.771,USV_3,0.06899999999999995,,,None,,,,,0.012232349254190922,0.027247837611607144,12391.027071540446,12924.949382041308,0.00018333664965944569,25282.366071428572,14853.943969201997,2.3431639355715217,7.849316625003037,7.318589986927258,16.135610529200346,11.0036637844826,15.265594238126953,61.64490870989558
8.992,9.04,USV_4,0.047999999999998266,,,None,,,,,0.008461366407573223,0.030322265625,15936.99975964569,16614.477004972152,0.0004108576540309843,31607.8125,23011.410247978387,2.2958901847700224,4.153948610951138,6.387530213453128,14.366836331299803,11.538075925176415,15.975192592331066,55.57751646599145
9.564,9.690000000000001,USV_5,0.12600000000000122,,,None,,,,,0.032028891146183014,0.0208056640625,10561.046841097777,13159.254215392044,0.00017800450389571996,23658.75,30624.797191222333,2.7069839198467247,4.234117939103408,4.847283988860957,15.19315317052521,12.317910532300985,17.443437864003403,56.832583879922886
10.972000000000001,11.045,USV_6,0.07299999999999862,,,None,,,,,0.011377566494047642,0.025447591145833334,13303.802391283936,14073.87283254517,9.54482510686449e-05,28221.875,16976.08552691343,2.3313033951414948,5.578489380947921,5.193786285565095,15.403669373874797,12.094592487325988,14.294975904709398,58.9520504702519
11.761,11.827,USV_7,0.06600000000000072,,,None,,,,,0.03574257716536522,0.010633680555555556,9476.454732695365,13464.790522520341,3.40011354254316e-05,23576.38888888889,20744.516998543262,2.9810631571203903,2.8542246894717445,7.8293188802877935,17.13193047824772,12.168215964243508,15.808103550740855,56.717633098112906
12.238,12.344,USV_8,0.10599999999999987,,,None,,,,,0.026681624352931976,0.012253534226190476,8613.98029500573,12033.565975445548,2.4530630724725602e-05,20647.321428571428,19871.936192854373,2.6667357883877125,2.335838412692984,5.709145212101781,18.243843662188016,11.364107256816872,15.271228534250932,60.988151066857675
12.386,12.512,USV_9,0.12600000000000122,,,None,,,,,0.024527039378881454,0.0132568359375,9101.11035576843,13070.78556613069,7.897481166238469e-05,22563.75,20813.241110819916,2.606175611477564,2.789539175977715,5.689351598242089,19.46822792370684,12.26385661039902,16.633458693384103,59.35361745959984
12.98,13.076,USV_10,0.09600000000000009,,,None,,,,,0.01563424989581108,0.01584986636513158,10763.576146973264,13798.708393790024,6.702122727895882e-05,25660.361842105263,24685.729855454163,2.9296905124116,3.8506743857638845,5.711378851856136,17.055679003952786,12.47342094707056,18.23743791353221,59.079115976949595
