trial_num,trial_start,open_time,open_latency
1,86.1603,126.47739999999999,40.31709999999998
2,450.0344,493.8854,43.851
3,793.2074,846.1094,52.902000000000044
4,1139.1484,,
5,1474.9584,1533.7584,58.799999999999955
