1.354	1.436	USV_1
1.53	1.611	USV_2
1.931	2.006	USV_3
2.99	3.106	USV_4
3.75	3.831	USV_5
6.404	6.491	USV_6
6.751	6.802	USV_7
7.245	7.351	USV_8
7.469	7.498	USV_9
8.902	9.022	USV_10
9.565	9.641	USV_11
9.938	9.999	USV_12
11.396	11.497	USV_13
11.71	11.822	USV_14
18.6	18.726	USV_15
18.820999999999998	18.893	USV_16
19.012999999999998	19.128999999999998	USV_17
25.183	25.275	USV_18
31.326	31.404	USV_19
35.275999999999996	35.322	USV_20
35.37	35.478	USV_21
40.785	40.848	USV_22
41.028	41.126	USV_23
42.593	42.728	USV_24
46.669	46.8	USV_25
48.58	48.697	USV_26
48.842	48.866	USV_27
49.971000000000004	50.019999999999996	USV_28
53.91	53.954	USV_29
54.887	54.975	USV_30
56.95	57.02	USV_31
63.766999999999996	63.818	USV_32
65.132	65.269	USV_33
65.528	65.59	USV_34
66.68	66.736	USV_35
68.803	68.934	USV_36
74.453	74.524	USV_37
79.188	79.278	USV_38
83.126	83.21000000000001	USV_39
83.381	83.437	USV_40
83.542	83.594	USV_41
85.673	85.759	USV_42
85.789	85.906	USV_43
87.341	87.412	USV_44
88.774	88.906	USV_45
89.028	89.085	USV_46
89.282	89.339	USV_47
89.536	89.584	USV_48
89.79	89.84	USV_49
91.031	91.091	USV_50
93.359	93.399	USV_51
96.033	96.114	USV_52
96.908	97.054	USV_53
99.396	99.451	USV_54
99.778	99.924	USV_55
100.129	100.259	USV_56
105.949	106.065	USV_57
110.69200000000001	110.711	USV_58
112.285	112.362	USV_59
114.743	114.829	USV_60
116.081	116.197	USV_61
117.54	117.563	USV_62
117.718	117.751	USV_63
123.607	123.73	USV_64
123.824	123.9	USV_65
126.117	126.2	USV_66
126.326	126.4	USV_67
126.543	126.635	USV_68
126.739	126.846	USV_69
126.912	127.034	USV_70
127.137	127.198	USV_71
127.318	127.408	USV_72
127.51	127.57	USV_73
127.7	127.762	USV_74
128.245	128.309	USV_75
128.408	128.474	USV_76
128.961	129.019	USV_77
129.126	129.192	USV_78
129.322	129.358	USV_79
129.508	129.538	USV_80
130.954	131.003	USV_81
131.274	131.324	USV_82
133.208	133.283	USV_83
134.217	134.367	USV_84
136.961	137.004	USV_85
137.07	137.158	USV_86
139.943	140.015	USV_87
140.106	140.168	USV_88
140.286	140.336	USV_89
140.448	140.515	USV_90
