trial_num,trial_start,open_time,open_latency
1,134.9582,146.8592,11.900999999999982
2,523.7002,550.3332,26.633000000000038
3,894.1242,933.4582,39.33400000000006
4,1278.7192,1295.7492,17.029999999999973
5,1629.2692,1671.0592,41.789999999999964
