start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
1.354,1.436,USV_1,0.08199999999999985,,,None,,,,,0.011037197895348072,0.05484286221590909,16273.484690219964,12961.411820015277,7.186389292301488e-06,28332.386363636364,23023.773590509983,2.575581527134995,4.663075709852693,6.576061534504571,18.120724906990812,11.324193699666154,17.235478609640708,62.93972060976975
1.53,1.611,USV_2,0.08099999999999996,,,None,,,,,0.011740894988179207,0.04317589962121212,16086.718210047133,14393.296681258147,9.954687931121738e-05,29053.977272727272,19747.251949471378,3.357175923614078,7.260021572285816,5.211881416876531,15.842952018287447,11.268828371837879,17.506037646032315,61.56963208429298
1.931,2.006,USV_3,0.07499999999999973,,,None,,,,,0.008730778470635414,0.042561848958333336,16589.553297469258,15657.655352539974,5.0592913834759233e-05,30762.5,27366.19095289556,2.9818515408528787,4.257987304631642,4.773358970956244,16.975484329120853,11.017869208472906,14.105031629270135,60.23226382174432
2.99,3.106,USV_4,0.11599999999999966,,,None,,,,,0.010696188546717167,0.038388459578804345,15484.231970851471,13033.328091005302,2.9055255624664077e-05,28263.58695652174,19872.527330593755,2.3807660979316925,4.977261000265982,5.079439945008269,16.077405072412894,11.43845105502709,17.12541035005247,63.27548882479816
3.75,3.831,USV_5,0.08099999999999996,,,None,,,,,0.011488420888781548,0.037531072443181816,15886.32467268001,14118.44630762898,6.545654645039667e-05,28627.840909090908,20665.863640720996,2.12051303144995,5.877453069086319,5.267620105672975,15.983419865292802,10.893015843226951,16.751045048301066,61.915477528099196
6.404,6.491,USV_6,0.08699999999999974,,,None,,,,,0.010315586812794209,0.03943917410714286,16226.985878959435,13618.941665315982,0.0001140018594212897,28532.14285714286,19376.179498870428,2.750946228812387,4.315384320519631,4.7321134973361625,15.580592232306085,12.127708900711127,17.46785260677587,63.63768514133923
6.751,6.802,USV_7,0.05099999999999927,,,None,,,,,0.010753700509667397,0.024762834821428572,15420.222709659985,15262.17249475048,0.0003324439752927938,29915.178571428572,23714.16007771767,3.0160125734955003,5.890082437741142,5.979426664864858,16.77338898732747,11.6706616525645,15.521454180345874,57.93471368516655
7.245,7.351,USV_8,0.10599999999999987,,,None,,,,,0.011689430102705956,0.04767717633928571,15494.421123724907,12856.903530000822,3.576994976262698e-05,27636.160714285714,18681.86009789457,2.584169816023295,5.073352037071094,5.6941691730181985,17.532213929113354,11.846817559020495,16.21684834683675,63.147858826566065
7.469,7.498,USV_9,0.028999999999999915,,,None,,,,,0.010223953984677792,0.020545372596153848,14884.36218435306,16329.787357140209,0.0002588049537581321,29437.5,22177.071954968098,2.250296734949923,6.747747333848996,6.426424249200563,15.619206402521796,9.552495168170413,16.00945561956999,52.63841245687596
8.902,9.022,USV_10,0.120000000000001,,,None,,,,,0.02567666582763195,0.023666057180851064,10246.377612614127,11254.40910662997,5.9244480457006385e-05,21442.81914893617,16190.029796856317,2.7342987593024493,2.6121257760546897,6.763054562210638,17.067142225844876,12.240508315207544,15.069711588492773,66.04994387084625
